Date, Price 
07-Feb-22,988
08-Feb-22,988
09-Feb-22,988
10-Feb-22,988
11-Feb-22,989
14-Feb-22,989
15-Feb-22,935
16-Feb-22,888
17-Feb-22,907
18-Feb-22,907
21-Feb-22,886
22-Feb-22,886
23-Feb-22,886
24-Feb-22,886
25-Feb-22,886
28-Feb-22,886
01-Mar-22,864
02-Mar-22,888
03-Mar-22,888
04-Mar-22,888
07-Mar-22,888
08-Mar-22,886
09-Mar-22,886
10-Mar-22,923
11-Mar-22,943
14-Mar-22,943
15-Mar-22,911
16-Mar-22,922
17-Mar-22,922
18-Mar-22,922
21-Mar-22,914
22-Mar-22,914
23-Mar-22,914
24-Mar-22,914
